device,metrics,top_tt_esd:nominal,top_tt_esd:asserts,toprf_tt:nominal,toprf_tt:asserts,mode,w,l,m,multi,wr,lr,br,gr,nr,s,stm,spm,dmflag,shield,nf,area,pj
pmos_rf_18_nw,idlin,-26.090643274853804,,-26.091228070175443,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,idsat,-360.3801169590644,,-360.3801169590644,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,ileak,-2.39094e-11,,-2.39095e-11,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,ibleak,-1.40351e-11,,-1.40352e-11,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,vtcch,-0.421268,,-0.421268,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,cggi,15.020006155740228,,15.020006155740228,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,igate,-0.0,,-0.0,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,vtbcch,-0.510648,,-0.510648,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,vtccl,-0.502288,,-0.502288,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18_nw,vtbccl,-0.598864,,-0.598863,,normal,,,,2.0,1u,150n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,idlin,-30.216081871345033,,-30.21666666666667,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,idsat,-364.3216374269006,,-364.3216374269006,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,ileak,-7.84277e-09,,-7.84279e-09,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,ibleak,-1.31225e-09,,-1.31226e-09,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,vtcch,-0.308195,,-0.308195,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,cggi,16.642646251756748,,16.642646251756748,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,igate,-0.0,,-0.0,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,vtbcch,-0.370389,,-0.370388,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,vtccl,-0.470599,,-0.470598,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
pmos_rf_18ud15_nw,vtbccl,-0.534889,,-0.534889,,normal,,,,2.0,1u,105n,,,4.0,,,,,,,,
nmos_rf_5t,idlin,138.1632553606238,,138.16569200779725,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,idsat,741.3596491228069,,741.3596491228069,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,ileak,4.41403e-08,,4.41403e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,ibleak,1.96312e-08,,1.96313e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,vtcch,0.120358,,0.120357,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,cggi,66.84753903385277,,66.84753903385277,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,igate,6.24637e-11,,6.24635e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,vtbcch,0.153325,,0.153325,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,vtccl,0.199221,,0.199221,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t,vtbccl,0.234063,,0.234062,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,idlin,138.1632553606238,,138.16569200779725,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,idsat,741.3596491228069,,741.3596491228069,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,ileak,4.41403e-08,,4.41403e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,ibleak,1.96312e-08,,1.96313e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,vtcch,0.120358,,0.120357,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,cggi,66.84753903385277,,66.84753903385277,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,igate,6.24637e-11,,6.24635e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,vtbcch,0.153325,,0.153325,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,vtccl,0.199221,,0.199221,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_5t_110g,vtbccl,0.234063,,0.234062,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,idlin,160.29044834307993,,160.29044834307993,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,idsat,947.6072124756336,,947.6072124756336,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,ileak,3.24084e-07,,3.24084e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,ibleak,1.58944e-07,,1.58944e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,vtcch,0.0390786,,0.0390786,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,cggi,67.04133085583788,,67.04133085583788,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,igate,6.69441e-11,,6.69441e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,vtbcch,0.0691679,,0.0691679,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,vtccl,0.138847,,0.138847,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t,vtbccl,0.16708,,0.16708,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,idlin,160.29044834307993,,160.29044834307993,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,idsat,947.6072124756336,,947.6072124756336,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,ileak,3.24084e-07,,3.24084e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,ibleak,1.58944e-07,,1.58944e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,vtcch,0.0390786,,0.0390786,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,cggi,67.04133085583788,,67.04133085583788,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,igate,6.69441e-11,,6.69441e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,vtbcch,0.0691679,,0.0691679,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,vtccl,0.138847,,0.138847,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_lvt_5t_110g,vtbccl,0.16708,,0.16708,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,idlin,167.31140350877192,,167.31140350877192,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,idsat,1027.7534113060428,,1027.7534113060428,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,ileak,1.00171e-06,,1.00171e-06,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,ibleak,5.28277e-07,,5.28277e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,vtcch,-0.00949589,"{""Id""=>6, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_566"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",-0.00949589,"{""Id""=>10, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_566"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,cggi,66.57908036280868,,66.57908036280868,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,igate,6.65889e-11,,6.65889e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,vtbcch,0.0170577,"{""Id""=>13, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_569"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",0.0170577,"{""Id""=>4, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_569"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,vtccl,0.115857,,0.115857,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t,vtbccl,0.142714,,0.142714,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,idlin,167.31140350877192,,167.31140350877192,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,idsat,1027.7534113060428,,1027.7534113060428,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,ileak,1.00171e-06,,1.00171e-06,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,ibleak,5.28277e-07,,5.28277e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,vtcch,-0.00949589,"{""Id""=>8, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_110g_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_576"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",-0.00949589,"{""Id""=>9, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_110g_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_576"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,cggi,66.57908036280868,,66.57908036280868,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,igate,6.65889e-11,,6.65889e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,vtbcch,0.0170577,"{""Id""=>22, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_110g_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_579"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",0.0170577,"{""Id""=>3, ""Checker Name""=>""n22ullrf_soac_nmos_rf_ulvt_5t_110g_VDG"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_579"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(d, g) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,vtccl,0.115857,,0.115857,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
nmos_rf_ulvt_5t_110g,vtbccl,0.142714,,0.142714,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,idlin,-126.88060428849901,,-126.88304093567251,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,idsat,-657.5584795321637,,-657.5584795321637,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,ileak,-1.29941e-08,,-1.29941e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,ibleak,-6.32679e-09,,-6.32681e-09,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,vtcch,-0.172493,,-0.172493,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,cggi,67.09509858683964,,67.09509858683964,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,igate,-1.32106e-11,,-1.32106e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,vtbcch,-0.198571,,-0.198571,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,vtccl,-0.26209,,-0.262089,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t,vtbccl,-0.293146,,-0.293145,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,idlin,-126.88060428849901,,-126.88304093567251,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,idsat,-657.5584795321637,,-657.5584795321637,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,ileak,-1.29941e-08,,-1.29941e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,ibleak,-6.32679e-09,,-6.32681e-09,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,vtcch,-0.172493,,-0.172493,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,cggi,67.09509858683964,,67.09509858683964,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,igate,-1.32106e-11,,-1.32106e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,vtbcch,-0.198571,,-0.198571,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,vtccl,-0.26209,,-0.262089,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_5t_110g,vtbccl,-0.293146,,-0.293145,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,idlin,-144.23781676413253,,-144.23781676413253,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,idsat,-806.4717348927875,,-806.4717348927875,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,ileak,-8.53622e-08,,-8.53622e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,ibleak,-4.05213e-08,,-4.05213e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,vtcch,-0.0981875,,-0.0981875,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,cggi,68.2360004407814,,68.2360004407814,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,igate,-1.32101e-11,,-1.32101e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,vtbcch,-0.127822,,-0.127822,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,vtccl,-0.201463,,-0.201463,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t,vtbccl,-0.234466,,-0.234466,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,idlin,-144.23781676413253,,-144.23781676413253,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,idsat,-806.4717348927875,,-806.4717348927875,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,ileak,-8.53622e-08,,-8.53622e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,ibleak,-4.05213e-08,,-4.05213e-08,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,vtcch,-0.0981875,,-0.0981875,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,cggi,68.2360004407814,,68.2360004407814,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,igate,-1.32101e-11,,-1.32101e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,vtbcch,-0.127822,,-0.127822,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,vtccl,-0.201463,,-0.201463,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_lvt_5t_110g,vtbccl,-0.234466,,-0.234466,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,idlin,-159.80701754385964,,-159.80701754385964,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,idsat,-904.0107212475633,,-904.0107212475633,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,ileak,-3.93321e-07,,-3.93321e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,ibleak,-2.28759e-07,,-2.28759e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,vtcch,-0.0321332,"{""Id""=>7, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_626"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",-0.0321332,"{""Id""=>15, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_626"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,cggi,67.69357333120543,,67.69357333120543,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,igate,-1.32065e-11,,-1.32065e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,vtbcch,-0.0553492,"{""Id""=>2, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_629"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",-0.0553492,"{""Id""=>22, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_629"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,vtccl,-0.159886,,-0.159886,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t,vtbccl,-0.18471,,-0.18471,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,idlin,-159.80701754385964,,-159.80701754385964,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,idsat,-904.0107212475633,,-904.0107212475633,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,ileak,-3.93321e-07,,-3.93321e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,ibleak,-2.28759e-07,,-2.28759e-07,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,vtcch,-0.0321332,"{""Id""=>1, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_110g_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_636"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",-0.0321332,"{""Id""=>2, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_110g_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_636"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,cggi,67.69357333120543,,67.69357333120543,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,igate,-1.32065e-11,,-1.32065e-11,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,vtbcch,-0.0553492,"{""Id""=>27, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_110g_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_639"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",-0.0553492,"{""Id""=>5, ""Checker Name""=>""n22ullrf_soac_pmos_rf_ulvt_5t_110g_VGD"", ""Analysis Name""=>""dcrun1"", ""Instance""=>""x_639"", ""Model""=>nil, ""StartValue""=>1.3, ""Margin""=>0.1, ""StartTime (s)""=>-0.5, ""Duration (s)""=>0.1, ""EndTime (s)""=>-0.4, ""EndValue""=>1.2, ""AvgValue""=>1.255, ""Message""=>""v(g, d) = 1.3000000000e+00; "", ""ViolationType""=>""upper"", ""PeakStep (s)""=>-0.5, ""PeakValue""=>1.3, ""Dissatisfied""=>""""}",normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,vtccl,-0.159886,,-0.159886,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_ulvt_5t_110g,vtbccl,-0.18471,,-0.18471,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
pmos_rf_nw_5t,idlin,-126.88060428849901,,-126.88304093567251,,normal,,,,2.0,300n,30n,,,4.0,,,,,,,,
